x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-83.35944444,64.19333333,53421,CORAL HARBOUR A,NU,NUNAVUT,CAN,641136000,-832134000,EST,62.2,2301002,YZS,71915,Aviation-Staffed,,,,NAVCAN,NAV Canada,3/5/2015 0:00,6/7/2022 12:30,5/5/2015 11:00,6/7/2022 12:30,3/5/2015 0:00,6/7/2022 0:00,,,Y,N,Y
-69.95583333,58.66777778,54018,TASIUJAQ A,QC,QUEBEC,CAN,584004000,-695721000,EST,36.9,7118365,YTQ,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2/9/2012 14:00,6/7/2022 12:30,2/9/2012 14:00,6/7/2022 12:30,,,,,N,N,Y
-71.92944444,61.58861111,54061,KANGIQSUJUAQ A,QC,QUEBEC,CAN,613519000,-715546000,EST,157.6,7113379,YKG,,Aviation-Staffed,,,,NAVCAN,NAV Canada,10/8/2015 14:00,6/7/2022 12:30,10/8/2015 14:00,6/7/2022 12:30,,,,,N,N,Y
-69.99916667,60.02722222,54071,KANGIRSUK A,QC,QUEBEC,CAN,600138000,-695957000,EST,123.8,7113383,YAS,,Aviation-Staffed,,,,NAVCAN,NAV Canada,9/29/2015 7:00,6/7/2022 12:30,9/29/2015 7:00,6/7/2022 12:30,,,,,N,N,Y
-83.35944444,64.19333333,54220,CORAL HARBOUR A,NU,NUNAVUT,CAN,641136000,-832134000,EST,62.2,2301004,YZS,,Aviation-Auto,,,,NAVCAN,NAV Canada,1/13/2016 9:00,6/7/2022 12:30,1/13/2016 9:00,6/7/2022 12:30,10/29/2018 0:00,6/7/2022 0:00,,,Y,N,Y
-81.71666667,43.76666667,7747,GODERICH,ON,ONTARIO,CAN,434600000,-814300000,EST,213.7,6122847,WGD,71261,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,12/31/1986 19:00,6/7/2022 12:30,12/31/1986 19:00,6/7/2022 12:30,12/30/1994 0:00,6/7/2022 0:00,5/1/1997 0:00,12/1/2006 0:00,Y,N,Y
-75.56666667,45.51666667,8375,GATINEAU A,QC,QUEBEC,CAN,453100000,-753400000,EST,64.3,7032681,YND,,Aviation-Staffed,,,,,,10/23/1981 6:00,10/11/2012 13:00,10/23/1981 6:00,10/11/2012 13:00,,,,,N,N,Y
-70.00361111,60.02305556,10205,KANGIRSUK A,QC,QUEBEC,CAN,600123000,-700013000,EST,123.8,7113382,YAS,,N/A,,,,DND,Department of National Defence,10/21/1992 7:00,9/10/2015 13:00,10/21/1992 7:00,9/10/2015 13:00,,,,,N,N,Y
-110.7208333,50.01888889,2273,MEDICINE HAT A,AB,ALBERTA,CAN,500108000,-1104315000,MST,716.9,3034480,YXH,,Aviation-Staffed,A,1,1,,,1883-01-01 00:00:00,6/7/2012 11:00,1/1/1953 0:00,6/7/2012 11:00,1883-08-01 00:00:00,7/24/2008 0:00,1883-01-01 00:00:00,11/1/2007 0:00,N,Y,Y
-113.95,49.5,2286,PINCHER CREEK,AB,ALBERTA,CAN,493000000,-1135700000,MST,1155.2,3035201,,,N/A,F,1,7,,,1/1/1960 0:00,12/1/1979 0:00,8/10/1960 17:00,6/30/1979 16:00,8/1/1960 0:00,5/31/1979 0:00,1/1/1960 0:00,12/1/1979 0:00,Y,N,Y
